Field1,Title,Field2,Field3,Field4,ImgurUrl,PostImagesUrl
Bars,Essential Drizzled Chocolate Fudge Crisp Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/hc2/h5d/8797140090910.jpg,"The Drizzled Chocolate Fudge Crisp Bar will put a smile on your face and delight your senses. The sweetness of real, luscious cocoa and perfectly satisfying crunch will leave you feeling fantastic. Grab, go, and enjoy a blissful day.",,https://i.postimg.cc/vTXyk0DH/8797140090910.jpg
Bars,Essential Cranberry Honey Nut Granola Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/h3e/hcc/8797140484126.jpg,"Take in every last flavor of this Cranberry Honey Nut Granola Bar and reach higher today. With tart cranberries and delicately sweet honey roasted peanuts, you'll get the perfect amount of flavor in every bite. Grab a bar and make today amazing.",,https://i.postimg.cc/022PD1H6/8797140484126.jpg
Bars,Essential Creamy Double Peanut Crisp Bar (Box),$21.45,https://www.optavia.com/webmedia/images/hab/hf4/8797140942878.jpg,"Give in to the goodness of our Creamy Double Peanut Butter Crisp Bar and satisfy your sweet and salty craving. With two layers of rich and creamy peanut butter nestled within a scrumptious cookie crisp. It's high in protein. full of essential vitamins and minerals, and made with natural sweeteners. Grab a bar and indulge in bliss.",,https://i.postimg.cc/FFxhYHG5/8797140942878.jpg
Bars,Essential Chocolate Mint Cookie Crisp Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/ha8/h7c/8797140156446.jpg,"Add some zing to your day with a refreshing Chocolate Mint Cookie Crisp Bar. Enjoy the exquisite flavor of real cocoa and the cool sweetness of mint anytime, anywhere. Take it with you wherever you're going and fuel up for the day's adventures.",,https://i.postimg.cc/3N37ts8c/8797140156446.jpg
Bars,Essential Frosted Cookie Dough Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/h95/h3e/8797140451358.jpg,"No need to lick the bowl when you can grab this Frosted Cookie Dough Bar for a treat. Scrumptious cookie dough flavor, enrobed in sweet icing. You'll enjoy every chewy and delicious bite of this tasty bar. Indulge your senses with this tempting treat.",,https://i.postimg.cc/pd8HRWyS/8797140451358.jpg
Bars,Essential Caramel Delight Crisp Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/h67/h03/8797139664926.jpg,"Even the strongest sweet craving is no match for the heavenly flavor of this Caramel Delight Crisp Bar. The chewy, delicious, real caramel in this crispy bar is an indulgence you'll always look forward to. Grab a bar and live it up today.",,https://i.postimg.cc/bJ9fSmxH/8797139664926.jpg
Bars,Essential Drizzled Berry Crisp Bar (Box),$21.45,https://www.optavia.com/webmedia/images/h34/h15/8797139435550.jpg,,,https://i.postimg.cc/JzSLfD7J/8797139435550.jpg
Bars,Essential Campfire S'mores Crisp Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/h97/h4c/8797141073950.jpg,"Relax and enjoy a deliciously sweet Campfire S’mores Crisp Bar that's just what you need to live your day to the max. The sweet flavor of marshmallows perfectly combines with gooey, sweet chocolate for an on-the-go treat any time of the day. Savor each bite and add some fire to your day.",,https://i.postimg.cc/C1gVK3qx/8797141073950.jpg
Bars,Essential Frosted Cinnamon Spice Crisp Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/h86/h3a/8797140353054.jpg,"Savor every bite of this delicious Frosted Cinnamon Spice Crisp Bar. Warm, spicy cinnamon adds the perfect kick to this on-the-go favorite. With bold flavors topped with frosting, you'll love this blissful bar. Grab a bar and add some spice to your day.",,https://i.postimg.cc/3Jc5G4v6/8797140353054.jpg
Shakes & Smoothies,Essential Creamy Chocolate Shake  (Box),$21.45,https://www.optavia.com/webmedia/images/hdc/h05/8797140254750.jpg,"Splurge on this Creamy Chocolate Shake that will have you feeling fabulous. With the mild sweetness of real cocoa, this frothy shake is perfectly delicious from start to finish. Fill up your glass and make it a truly enjoyable moment of your day.",,https://i.postimg.cc/tRDHXmC9/8797140254750.jpg
